testo,etichetta
Hai vinto un iPhone! Clicca qui per riceverlo.,spam
Complimenti! Sei stato selezionato per un viaggio gratis.,spam
Offerta esclusiva: sconto del 90% solo oggi!,spam
Rispondi subito per ricevere il tuo premio.,spam
Clicca qui per scoprire la tua fortuna.,spam
"Hai un credito da riscuotere, agisci ora!",spam
Partecipa e vinci buoni Amazon gratis.,spam
Solo oggi: mutuo al 2% senza garanzie.,spam
Ti è stato accreditato un bonus di 1000€.,spam
Scarica questa app e guadagna soldi facili.,spam
Non perdere questa opportunità irripetibile.,spam
Conto corrente bloccato: aggiorna le tue credenziali.,spam
"Investi in criptovalute, guadagni immediati.",spam
"Complimenti, sei il nostro fortunato vincitore.",spam
Ultima chiamata: riscatta il tuo buono sconto.,spam
Ricevi subito un prestito personale online.,spam
"Ricevi subito 500€ in omaggio, registrati ora.",spam
Hai bisogno di un prestito? Rispondi a questa email.,spam
Sconto del 70% su tutti i prodotti: clicca ora.,spam
"Hai ricevuto una carta regalo, riscuotila subito.",spam
Viaggio gratis per due persone: scopri come.,spam
Hai ricevuto una vincita inattesa.,spam
Vinci ogni settimana premi esclusivi.,spam
La tua auto può essere tua senza anticipo.,spam
Vinci una crociera nei Caraibi.,spam
Scopri come guadagnare lavorando da casa.,spam
Solo oggi: smartphone top a metà prezzo.,spam
Hai ricevuto una ricarica omaggio.,spam
Clicca e partecipa alla nostra lotteria.,spam
"Offerta a tempo limitato, non lasciartela scappare.",spam
"Il tuo conto è stato sospeso, aggiorna subito i dati.",spam
Hai un messaggio urgente dal tuo istituto bancario.,spam
Siamo lieti di comunicarti che hai vinto.,spam
Registra la tua email e ottieni subito un buono.,spam
Rispondi ora e vinci una gift card.,spam
"Solo per te, un regalo esclusivo.",spam
Partecipa e ricevi premi assicurati.,spam
Hai diritto a uno sconto personale.,spam
Accedi al link per ottenere la tua offerta.,spam
Ricevi subito il tuo omaggio speciale.,spam
Ricevi buoni sconto semplicemente rispondendo.,spam
Clicca per scoprire la promozione segreta.,spam
Hai vinto una macchina nuova!,spam
Solo oggi: sconto 80% su prodotti selezionati.,spam
Ricevi un credito Amazon gratuito.,spam
"Il tuo indirizzo è stato estratto, rispondi.",spam
Partecipa al concorso e vinci subito.,spam
Il regalo che aspettavi è pronto per te.,spam
Registrati e ricevi premi garantiti.,spam
Offerta esclusiva ricevi subito il tuo premio vincendo una gift card!,spam
Hai ricevuto una notifica urgente: clicca qui per i dettagli.,spam
"Ciao, come stai oggi?",ham
Hai fatto i compiti di matematica?,ham
Ci vediamo domani per il cinema?,ham
Hai sentito la nuova canzone di Elisa?,ham
Andiamo a prendere un gelato dopo scuola?,ham
Ti aspetto alle 8 davanti casa.,ham
Sei libero sabato pomeriggio?,ham
Mi mandi il link della riunione?,ham
Domani porto io la torta a scuola.,ham
Hai parlato con Luca del progetto?,ham
Ti ricordi di portare il libro di storia?,ham
Hai visto che tempo fa domani?,ham
Stasera guardiamo un film insieme?,ham
"Devo comprare il pane, serve altro?",ham
"Domani ho il compito di inglese, aiuto!",ham
Mi presti la tua calcolatrice per la verifica?,ham
Ti ho mandato le foto del viaggio.,ham
Vuoi venire a studiare insieme?,ham
Ti va una partita a calcio oggi?,ham
Hai visto la partita ieri sera?,ham
"Devo passare in farmacia, serve qualcosa?",ham
A che ora ci vediamo per pranzo?,ham
Mi puoi chiamare appena finisci?,ham
Hai letto il messaggio di Marta?,ham
Ti serve un passaggio per tornare a casa?,ham
Domenica facciamo una gita in montagna.,ham
Ho trovato un nuovo libro interessante.,ham
Hai bisogno di aiuto per i compiti?,ham
Vuoi uscire a fare due passi?,ham
Quando hai la prossima lezione di chitarra?,ham
Stasera c’è una nuova puntata della serie.,ham
Ho comprato i biglietti per il concerto.,ham
Puoi farmi sapere se arrivi in ritardo?,ham
Ci vediamo al parco dopo scuola?,ham
Mi mandi l’indirizzo per la festa?,ham
Hai sentito che domani nevica?,ham
Passo a prenderti alle 18.,ham
Ricordati di portare l’ombrello.,ham
Quando consegni la tesina?,ham
Vuoi venire al cinema con noi?,ham
"Ho preparato la cena, scendi quando vuoi.",ham
Mi puoi aiutare con la presentazione?,ham
Hai già finito di leggere il libro?,ham
Mi accompagni dal dottore domani?,ham
C’è la partita alle 20:30.,ham
Hai sentito la notizia di oggi?,ham
Stasera cucini tu o io?,ham
Ti va di venire a correre domani mattina?,ham
Hai voglia di pizza stasera?,ham
Sei pronto per il viaggio?,ham
Oggi ho un appuntamento numero 50 con gli amici al parco, vieni anche tu?,ham
